Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Distance Category,KPT Category
105.0,Cafe Aroma,Central Zone,Indore,O0011,2026-08-01 10:17:00,Cancelled,Standard,4.3,6.0,,61.0,983.0,23.0,17.0,15.0,8.0,2.0,964.0,,,Customer unavailable,125.0,0.0,43.0,8.0,2026-08-01 11:00:00,,211.0,Medium,Slow
106.0,The Meal House,West Zone,Indore,O0012,2026-08-01 11:24:00,Rejected,Express,5.6,1.0,Call before delivery,72.0,1056.0,26.0,24.0,20.0,11.0,4.0,1023.0,,,Restaurant rejected order,0.0,30.0,10.0,10.0,2026-08-01 11:34:00,,212.0,Medium,Fast
101.0,Spice Hub,North Zone,Bhopal,O0013,2026-08-01 12:31:00,Delivered,Standard,7.0,2.0,,83.0,229.0,29.0,31.0,25.0,14.0,6.0,182.0,4.1,Good delivery,,0.0,0.0,13.0,12.0,2026-08-01 12:44:00,,201.0,Medium,Fast
102.0,Urban Tadka,Central Zone,Bhopal,O0014,2026-08-01 13:38:00,Delivered,Express,8.4,3.0,,94.0,302.0,32.0,38.0,30.0,17.0,8.0,241.0,4.8,Good delivery,,0.0,0.0,16.0,14.0,2026-08-01 13:54:00,,202.0,Far,Normal
103.0,Food Junction,South Zone,Bhopal,O0015,2026-08-01 14:45:00,Delivered,Standard,9.8,4.0,,25.0,375.0,35.0,45.0,35.0,20.0,10.0,300.0,3.5,Could be improved,,0.0,0.0,19.0,16.0,2026-08-01 15:04:00,Missing item,203.0,Far,Normal
104.0,Green Bowl,East Zone,Indore,O0016,2026-08-01 15:52:00,Delivered,Express,11.1,5.0,Call before delivery,36.0,448.0,38.0,52.0,0.0,23.0,12.0,399.0,4.2,Good delivery,,0.0,0.0,22.0,2.0,2026-08-01 16:14:00,,204.0,Far,Normal
105.0,Cafe Aroma,Central Zone,Indore,O0017,2026-08-01 16:59:00,Cancelled,Standard,12.5,6.0,,47.0,521.0,16.0,59.0,5.0,1.0,14.0,458.0,,,Customer unavailable,75.0,0.0,25.0,4.0,2026-08-01 17:24:00,,205.0,Far,Normal
106.0,The Meal House,West Zone,Indore,O0018,2026-08-01 17:06:00,Rejected,Express,1.9,1.0,,58.0,594.0,19.0,6.0,10.0,4.0,16.0,577.0,,,Restaurant rejected order,0.0,30.0,28.0,6.0,2026-08-01 17:34:00,,206.0,Near,Normal
101.0,Spice Hub,North Zone,Bhopal,O0019,2026-08-01 18:13:00,Delivered,Standard,3.2,2.0,,69.0,667.0,22.0,13.0,15.0,7.0,18.0,636.0,4.3,Good delivery,,0.0,0.0,31.0,8.0,2026-08-01 18:44:00,,207.0,Medium,Slow
102.0,Urban Tadka,Central Zone,Bhopal,O0020,2026-08-01 19:20:00,Delivered,Express,4.6,3.0,Call before delivery,80.0,740.0,25.0,20.0,20.0,10.0,0.0,715.0,3.0,Could be improved,,0.0,0.0,34.0,10.0,2026-08-01 19:54:00,,208.0,Medium,Slow
103.0,Food Junction,South Zone,Bhopal,O0021,2026-08-01 10:27:00,Delivered,Standard,6.0,4.0,,91.0,813.0,28.0,27.0,25.0,13.0,2.0,774.0,3.7,Could be improved,,0.0,0.0,37.0,12.0,2026-08-01 11:04:00,,209.0,Medium,Slow
104.0,Green Bowl,East Zone,Indore,O0022,2026-08-01 11:34:00,Delivered,Express,7.3,5.0,,22.0,886.0,31.0,34.0,30.0,16.0,4.0,833.0,4.4,Good delivery,,0.0,0.0,40.0,14.0,2026-08-01 12:14:00,,210.0,Far,Slow
105.0,Cafe Aroma,Central Zone,Indore,O0023,2026-08-01 12:41:00,Cancelled,Standard,8.7,6.0,,33.0,959.0,34.0,41.0,35.0,19.0,6.0,892.0,,,Customer unavailable,125.0,0.0,43.0,16.0,2026-08-01 13:24:00,,211.0,Far,Slow
106.0,The Meal House,West Zone,Indore,O0024,2026-08-01 13:48:00,Rejected,Express,10.1,1.0,Call before delivery,44.0,1032.0,37.0,48.0,0.0,22.0,8.0,991.0,,,Restaurant rejected order,0.0,30.0,10.0,2.0,2026-08-01 13:58:00,,212.0,Far,Fast
101.0,Spice Hub,North Zone,Bhopal,O0025,2026-08-01 14:55:00,Delivered,Standard,11.4,2.0,,55.0,205.0,15.0,55.0,5.0,0.0,10.0,150.0,4.5,Good delivery,,0.0,0.0,13.0,4.0,2026-08-01 15:08:00,Late delivery,201.0,Far,Fast
102.0,Urban Tadka,Central Zone,Bhopal,O0026,2026-08-01 15:02:00,Delivered,Express,12.8,3.0,,66.0,278.0,18.0,2.0,10.0,3.0,12.0,269.0,3.2,Could be improved,,0.0,0.0,16.0,6.0,2026-08-01 15:18:00,,202.0,Far,Normal
103.0,Food Junction,South Zone,Bhopal,O0027,2026-08-01 16:09:00,Delivered,Standard,2.2,4.0,,77.0,351.0,21.0,9.0,15.0,6.0,14.0,328.0,3.9,Could be improved,,0.0,0.0,19.0,8.0,2026-08-01 16:28:00,,203.0,Near,Normal
104.0,Green Bowl,East Zone,Indore,O0028,2026-08-01 17:16:00,Delivered,Express,3.6,5.0,Call before delivery,88.0,424.0,24.0,16.0,20.0,9.0,16.0,387.0,4.6,Good delivery,,0.0,0.0,22.0,10.0,2026-08-01 17:38:00,,204.0,Medium,Normal
105.0,Cafe Aroma,Central Zone,Indore,O0029,2026-08-01 18:23:00,Cancelled,Standard,4.9,6.0,,99.0,497.0,27.0,23.0,25.0,12.0,18.0,446.0,,,Customer unavailable,75.0,0.0,25.0,12.0,2026-08-01 18:48:00,,205.0,Medium,Normal
106.0,The Meal House,West Zone,Indore,O0030,2026-08-01 19:30:00,Rejected,Express,6.3,1.0,,30.0,570.0,30.0,30.0,30.0,15.0,0.0,525.0,,,Restaurant rejected order,0.0,30.0,28.0,14.0,2026-08-01 19:58:00,Wrong item,206.0,Medium,Normal
101.0,Spice Hub,North Zone,Bhopal,O0031,2026-08-01 10:37:00,Delivered,Standard,7.7,2.0,,41.0,643.0,33.0,37.0,35.0,18.0,2.0,584.0,4.7,Good delivery,,0.0,0.0,31.0,16.0,2026-08-01 11:08:00,,207.0,Far,Slow
102.0,Urban Tadka,Central Zone,Bhopal,O0032,2026-08-01 11:44:00,Delivered,Express,9.0,3.0,Call before delivery,52.0,716.0,36.0,44.0,0.0,21.0,4.0,683.0,3.4,Could be improved,,0.0,0.0,34.0,2.0,2026-08-01 12:18:00,,208.0,Far,Slow
103.0,Food Junction,South Zone,Bhopal,O0033,2026-08-01 12:51:00,Delivered,Standard,10.4,4.0,,63.0,789.0,39.0,51.0,5.0,24.0,6.0,742.0,4.1,Good delivery,,0.0,0.0,37.0,4.0,2026-08-01 13:28:00,,209.0,Far,Slow
104.0,Green Bowl,East Zone,Indore,O0034,2026-08-01 13:58:00,Delivered,Express,11.8,5.0,,74.0,862.0,17.0,58.0,10.0,2.0,8.0,801.0,4.8,Good delivery,,0.0,0.0,40.0,6.0,2026-08-01 14:38:00,,210.0,Far,Slow
105.0,Cafe Aroma,Central Zone,Indore,O0035,2026-08-01 14:05:00,Cancelled,Standard,13.2,6.0,,85.0,935.0,20.0,5.0,15.0,5.0,10.0,920.0,,,Customer unavailable,125.0,0.0,43.0,8.0,2026-08-01 14:48:00,Missing item,211.0,Far,Slow
106.0,The Meal House,West Zone,Indore,O0036,2026-08-01 15:12:00,Rejected,Express,2.5,1.0,Call before delivery,96.0,1008.0,23.0,12.0,20.0,8.0,12.0,979.0,,,Restaurant rejected order,0.0,30.0,10.0,10.0,2026-08-01 15:22:00,,212.0,Near,Fast
101.0,Spice Hub,North Zone,Bhopal,O0037,2026-08-01 16:19:00,Delivered,Standard,3.9,2.0,,27.0,181.0,26.0,19.0,25.0,11.0,14.0,138.0,4.9,Good delivery,,0.0,0.0,13.0,12.0,2026-08-01 16:32:00,,201.0,Medium,Fast
102.0,Urban Tadka,Central Zone,Bhopal,O0038,2026-08-01 17:26:00,Delivered,Express,5.3,3.0,,38.0,254.0,29.0,26.0,30.0,14.0,16.0,197.0,3.6,Could be improved,,0.0,0.0,16.0,14.0,2026-08-01 17:42:00,,202.0,Medium,Normal
103.0,Food Junction,South Zone,Bhopal,O0039,2026-08-01 18:33:00,Delivered,Standard,6.6,4.0,,49.0,327.0,32.0,33.0,35.0,17.0,18.0,256.0,4.3,Good delivery,,0.0,0.0,19.0,16.0,2026-08-01 18:52:00,,203.0,Medium,Normal
104.0,Green Bowl,East Zone,Indore,O0040,2026-08-01 19:40:00,Delivered,Express,8.0,5.0,Call before delivery,60.0,400.0,35.0,40.0,0.0,20.0,0.0,375.0,3.0,Could be improved,,0.0,0.0,22.0,2.0,2026-08-01 20:02:00,,204.0,Far,Normal
105.0,Cafe Aroma,Central Zone,Indore,O0041,2026-08-01 10:47:00,Cancelled,Standard,9.4,6.0,,71.0,473.0,38.0,47.0,5.0,23.0,2.0,434.0,,,Customer unavailable,75.0,0.0,25.0,4.0,2026-08-01 11:12:00,,205.0,Far,Normal
106.0,The Meal House,West Zone,Indore,O0042,2026-08-01 11:54:00,Rejected,Express,10.7,1.0,,82.0,546.0,16.0,54.0,10.0,1.0,4.0,493.0,,,Restaurant rejected order,0.0,30.0,28.0,6.0,2026-08-01 12:22:00,,206.0,Far,Normal
101.0,Spice Hub,North Zone,Bhopal,O0043,2026-08-01 12:01:00,Delivered,Standard,12.1,2.0,,93.0,619.0,19.0,1.0,15.0,4.0,6.0,612.0,3.1,Could be improved,,0.0,0.0,31.0,8.0,2026-08-01 12:32:00,,207.0,Far,Slow
102.0,Urban Tadka,Central Zone,Bhopal,O0044,2026-08-01 13:08:00,Delivered,Express,1.5,3.0,Call before delivery,24.0,692.0,22.0,8.0,20.0,7.0,8.0,671.0,3.8,Could be improved,,0.0,0.0,34.0,10.0,2026-08-01 13:42:00,,208.0,Near,Slow
103.0,Food Junction,South Zone,Bhopal,O0045,2026-08-01 14:15:00,Delivered,Standard,2.9,4.0,,35.0,765.0,25.0,15.0,25.0,10.0,10.0,730.0,4.5,Good delivery,,0.0,0.0,37.0,12.0,2026-08-01 14:52:00,Late delivery,209.0,Near,Slow
104.0,Green Bowl,East Zone,Indore,O0046,2026-08-01 15:22:00,Delivered,Express,4.2,5.0,,46.0,838.0,28.0,22.0,30.0,13.0,12.0,789.0,3.2,Could be improved,,0.0,0.0,40.0,14.0,2026-08-01 16:02:00,,210.0,Medium,Slow
105.0,Cafe Aroma,Central Zone,Indore,O0047,2026-08-01 16:29:00,Cancelled,Standard,5.6,6.0,,57.0,911.0,31.0,29.0,35.0,16.0,14.0,848.0,,,Customer unavailable,125.0,0.0,43.0,16.0,2026-08-01 17:12:00,,211.0,Medium,Slow
106.0,The Meal House,West Zone,Indore,O0048,2026-08-01 17:36:00,Rejected,Express,7.0,1.0,Call before delivery,68.0,984.0,34.0,36.0,0.0,19.0,16.0,947.0,,,Restaurant rejected order,0.0,30.0,10.0,2.0,2026-08-01 17:46:00,,212.0,Medium,Fast
101.0,Spice Hub,North Zone,Bhopal,O0049,2026-08-01 18:43:00,Delivered,Standard,8.3,2.0,,79.0,1057.0,37.0,43.0,5.0,22.0,18.0,1006.0,3.3,Could be improved,,0.0,0.0,13.0,4.0,2026-08-01 18:56:00,,201.0,Far,Fast
102.0,Urban Tadka,Central Zone,Bhopal,O0050,2026-08-01 19:50:00,Delivered,Express,9.7,3.0,,90.0,230.0,15.0,50.0,10.0,0.0,0.0,185.0,4.0,Good delivery,,0.0,0.0,16.0,6.0,2026-08-01 20:06:00,Wrong item,202.0,Far,Normal
